"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"envelope"	 		"Type         "	"envelope"	 
"Date         "	09/10/95	 		"Date         "	09/10/95	 
"Time         "	01:40:07	 		"Time         "	01:40:07	 
"X Scale      "	1.00e-02	 		"X Scale      "	1.00e-02	 
"X At 0%      "	4.72e-02	 		"X At 0%      "	4.72e-02	 
"X Resolution "	2.500000e+01	 		"X Resolution "	2.500000e+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"10 ms/Div"	 		"X Label      "	"10 ms/Div"	 
"Y Scale      "	5.0e-01	 		"Y Scale      "	2.00e-02	 
"Y At 50%     "	1.34e+00	 		"Y At 50%     "	-8.00e-02	 
"Y Resolution "	2.500000e+01	 		"Y Resolution "	2.500000e+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 

1.268e-01	7.6e-01	8.0e-01		1.268e-01	-2.24e-02	-1.92e-02
1.272e-01	7.6e-01	8.2e-01		1.272e-01	-2.16e-02	-1.92e-02
1.276e-01	7.6e-01	8.0e-01		1.276e-01	-2.16e-02	-1.84e-02
1.280e-01	7.2e-01	7.6e-01		1.280e-01	-2.24e-02	-1.92e-02
1.284e-01	7.2e-01	7.6e-01		1.284e-01	-2.16e-02	-1.84e-02
1.288e-01	7.2e-01	7.6e-01		1.288e-01	-2.32e-02	-2.00e-02
1.292e-01	7.0e-01	7.4e-01		1.292e-01	-2.24e-02	-1.92e-02
1.296e-01	7.0e-01	7.4e-01		1.296e-01	-2.32e-02	-2.08e-02
1.300e-01	6.6e-01	7.0e-01		1.300e-01	-2.48e-02	-2.00e-02
1.304e-01	6.4e-01	6.8e-01		1.304e-01	-2.24e-02	-1.92e-02
1.308e-01	6.4e-01	6.8e-01		1.308e-01	-2.40e-02	-1.92e-02
1.312e-01	6.2e-01	6.6e-01		1.312e-01	-2.32e-02	-1.92e-02
1.316e-01	6.0e-01	6.6e-01		1.316e-01	-2.32e-02	-2.00e-02
1.320e-01	6.0e-01	6.6e-01		1.320e-01	-2.32e-02	-2.00e-02
1.324e-01	5.8e-01	6.4e-01		1.324e-01	-2.32e-02	-2.00e-02
1.328e-01	5.6e-01	6.2e-01		1.328e-01	-2.32e-02	-2.00e-02
1.332e-01	5.6e-01	5.8e-01		1.332e-01	-2.40e-02	-2.00e-02
1.336e-01	5.4e-01	5.6e-01		1.336e-01	-2.32e-02	-2.08e-02
1.340e-01	5.4e-01	5.8e-01		1.340e-01	-2.40e-02	-2.08e-02
1.344e-01	5.0e-01	5.6e-01		1.344e-01	-2.48e-02	-2.16e-02
1.348e-01	5.0e-01	5.4e-01		1.348e-01	-2.32e-02	-2.00e-02
1.352e-01	4.8e-01	5.2e-01		1.352e-01	-2.40e-02	-2.00e-02
1.356e-01	4.6e-01	5.0e-01		1.356e-01	-3.92e-02	-2.32e-02
1.360e-01	4.6e-01	5.0e-01		1.360e-01	-1.192e-01	-3.84e-02
1.364e-01	4.4e-01	4.8e-01		1.364e-01	-7.04e-02	-2.48e-02
1.368e-01	4.0e-01	4.4e-01		1.368e-01	-2.64e-02	-2.08e-02
1.372e-01	4.0e-01	4.4e-01		1.372e-01	-2.48e-02	-2.00e-02
1.376e-01	3.8e-01	4.4e-01		1.376e-01	-2.32e-02	-1.92e-02
1.380e-01	3.8e-01	4.2e-01		1.380e-01	-2.32e-02	-1.92e-02
